departure;compatibleCategory;
Dep1;Cat1;
Dep2;Cat1;
Dep3;Cat1;
Dep4;Cat1;
Dep5;Cat1;
Dep6;Cat1;
Dep7;Cat1;
Dep8;Cat1;
Dep9;Cat1;
Dep10;Cat1;
Dep11;Cat1;
Dep12;Cat1;
Dep13;Cat1;
Dep14;Cat1;
Dep15;Cat1;
Dep16;Cat1;
Dep17;Cat1;
Dep18;Cat1;
Dep19;Cat1;
Dep20;Cat1;
Dep21;Cat1;
Dep22;Cat1;
Dep23;Cat1;
Dep24;Cat1;
Dep25;Cat1;
Dep26;Cat1;
Dep27;Cat1;
Dep28;Cat1;
Dep29;Cat1;
Dep30;Cat1;
Dep31;Cat1;
Dep32;Cat1;
Dep33;Cat1;
Dep34;Cat1;
Dep35;Cat1;
Dep36;Cat1;
Dep37;Cat1;
Dep38;Cat1;
Dep39;Cat1;
Dep40;Cat1;
Dep41;Cat1;
Dep42;Cat1;
Dep43;Cat1;
Dep44;Cat1;
Dep45;Cat1;
Dep46;Cat1;
Dep47;Cat1;
Dep48;Cat1;
Dep49;Cat1;
Dep50;Cat1;
Dep51;Cat1;
Dep52;Cat1;
Dep53;Cat1;
Dep54;Cat1;
Dep55;Cat1;
Dep56;Cat1;
Dep57;Cat1;
Dep58;Cat1;
Dep59;Cat1;
Dep60;Cat1;
Dep61;Cat1;
Dep62;Cat1;
Dep63;Cat1;
Dep64;Cat1;
Dep65;Cat1;
Dep66;Cat1;
Dep67;Cat1;
Dep68;Cat1;
Dep69;Cat1;
Dep70;Cat1;
Dep71;Cat1;
Dep72;Cat1;
Dep73;Cat1;
Dep74;Cat1;
Dep75;Cat1;
Dep76;Cat1;
Dep77;Cat1;
Dep78;Cat1;
Dep79;Cat1;
Dep80;Cat1;
Dep81;Cat1;
Dep82;Cat1;
Dep83;Cat1;
Dep84;Cat1;
Dep85;Cat1;
Dep86;Cat1;
Dep87;Cat1;
Dep88;Cat1;
Dep89;Cat1;
Dep90;Cat1;
Dep91;Cat1;
Dep92;Cat1;
Dep93;Cat1;
Dep94;Cat1;
Dep95;Cat1;
Dep96;Cat1;
Dep97;Cat1;
Dep98;Cat1;
Dep99;Cat1;
Dep100;Cat1;
Dep101;Cat1;
Dep102;Cat1;
Dep103;Cat1;
Dep104;Cat1;
Dep105;Cat1;
Dep106;Cat1;
Dep107;Cat1;
Dep108;Cat1;
Dep109;Cat1;
Dep110;Cat1;
Dep111;Cat1;
Dep112;Cat1;
Dep113;Cat1;
Dep114;Cat1;
Dep115;Cat1;
Dep116;Cat1;
Dep117;Cat1;
Dep118;Cat1;
Dep119;Cat1;
Dep120;Cat1;
Dep121;Cat1;
Dep122;Cat1;
Dep123;Cat1;
Dep124;Cat1;
Dep125;Cat1;
Dep126;Cat1;
Dep127;Cat1;
Dep128;Cat1;
Dep129;Cat1;
Dep130;Cat1;
Dep131;Cat1;
Dep132;Cat1;
Dep133;Cat1;
Dep134;Cat1;
Dep135;Cat1;
Dep136;Cat1;
Dep137;Cat1;
Dep138;Cat1;
Dep139;Cat1;
Dep140;Cat1;
Dep141;Cat1;
Dep142;Cat1;
Dep143;Cat1;
Dep144;Cat1;
Dep145;Cat1;
Dep146;Cat1;
Dep147;Cat1;
Dep148;Cat1;
Dep149;Cat1;
Dep150;Cat1;
Dep151;Cat1;
Dep152;Cat1;
Dep153;Cat1;
Dep154;Cat1;
Dep155;Cat1;
Dep156;Cat1;
Dep157;Cat1;
Dep158;Cat1;
Dep159;Cat1;
Dep160;Cat1;
