arr/dep;platform;
Arr1;Platform2;
Arr1;Platform3;
Arr1;Platform4;
Arr1;Platform5;
Arr1;Platform6;
Arr2;Platform4;
Arr2;Platform5;
Arr2;Platform6;
Arr2;Platform7;
Arr2;Platform8;
Arr2;Platform9;
Arr3;Platform2;
Arr3;Platform3;
Arr3;Platform4;
Arr3;Platform5;
Arr3;Platform6;
Arr3;Platform7;
Arr4;Platform4;
Arr4;Platform5;
Arr4;Platform6;
Arr4;Platform7;
Arr4;Platform8;
Arr4;Platform9;
Arr5;Platform6;
Arr5;Platform7;
Arr5;Platform8;
Arr5;Platform9;
Arr5;Platform10;
Arr6;Platform6;
Arr6;Platform7;
Arr6;Platform8;
Arr6;Platform9;
Arr7;Platform2;
Arr7;Platform3;
Arr7;Platform4;
Arr7;Platform5;
Arr7;Platform6;
Arr7;Platform7;
Arr7;Platform8;
Arr7;Platform9;
Arr8;Platform5;
Arr8;Platform6;
Arr8;Platform7;
Arr8;Platform8;
Arr8;Platform9;
Dep1;Platform6;
Dep1;Platform7;
Dep1;Platform8;
Dep1;Platform9;
Dep1;Platform10;
Dep2;Platform4;
Dep2;Platform5;
Dep2;Platform6;
Dep2;Platform7;
Dep2;Platform8;
Dep3;Platform2;
Dep3;Platform3;
Dep3;Platform4;
Dep3;Platform5;
Dep3;Platform6;
Dep4;Platform4;
Dep4;Platform5;
Dep4;Platform6;
Dep4;Platform7;
Dep5;Platform3;
Dep5;Platform4;
Dep5;Platform5;
Dep5;Platform6;
Dep5;Platform7;
Dep5;Platform8;
Dep5;Platform9;
Dep5;Platform10;
Dep6;Platform2;
Dep6;Platform3;
Dep6;Platform4;
Dep6;Platform5;
Dep7;Platform3;
Dep7;Platform4;
Dep7;Platform5;
Dep7;Platform6;
Dep7;Platform7;
Dep7;Platform8;
Dep7;Platform9;
Dep8;Platform6;
Dep8;Platform7;
Dep8;Platform8;
Dep8;Platform9;
