idTrain;category;resource;remDBM;remTBM;
Train71;Cat1;Yard2;5000;72:00:00;
Train72;Cat1;Yard1;5000;72:00:00;
Train73;Cat1;Yard3;5000;72:00:00;
Train74;Cat1;Yard3;5000;72:00:00;
Train75;Cat1;Yard2;5000;72:00:00;
Train76;Cat1;Yard3;5000;72:00:00;
Train77;Cat1;Yard3;5000;72:00:00;
Train78;Cat1;Yard1;5000;72:00:00;
Train79;Cat1;Yard3;5000;72:00:00;
Train80;Cat1;Yard2;5000;72:00:00;
Train81;Cat1;Yard1;5000;72:00:00;
Train82;Cat1;Yard2;5000;72:00:00;
Train83;Cat1;Yard1;5000;72:00:00;
Train84;Cat1;Yard2;5000;72:00:00;
Train85;Cat1;Yard3;5000;72:00:00;
Train86;Cat1;Yard3;5000;72:00:00;
Train87;Cat1;Yard3;5000;72:00:00;
Train88;Cat1;Yard2;5000;72:00:00;
Train89;Cat1;Yard1;5000;72:00:00;
Train90;Cat1;Yard3;5000;72:00:00;
